Count,card_id,slot_01,slot_02,slot_03,slot_04,slot_05,slot_06,slot_07,slot_08,slot_09
1,1,assets/images/sym_33.png,assets/images/sym_1.png,assets/images/sym_41.png,assets/images/sym_65.png,assets/images/sym_49.png,assets/images/sym_9.png,assets/images/sym_25.png,assets/images/sym_57.png,assets/images/sym_17.png
1,2,assets/images/sym_65.png,assets/images/sym_2.png,assets/images/sym_42.png,assets/images/sym_10.png,assets/images/sym_26.png,assets/images/sym_18.png,assets/images/sym_34.png,assets/images/sym_58.png,assets/images/sym_50.png
1,3,assets/images/sym_11.png,assets/images/sym_59.png,assets/images/sym_3.png,assets/images/sym_51.png,assets/images/sym_27.png,assets/images/sym_19.png,assets/images/sym_35.png,assets/images/sym_65.png,assets/images/sym_43.png
1,4,assets/images/sym_4.png,assets/images/sym_65.png,assets/images/sym_44.png,assets/images/sym_20.png,assets/images/sym_12.png,assets/images/sym_52.png,assets/images/sym_60.png,assets/images/sym_36.png,assets/images/sym_28.png
1,5,assets/images/sym_37.png,assets/images/sym_21.png,assets/images/sym_29.png,assets/images/sym_65.png,assets/images/sym_45.png,assets/images/sym_53.png,assets/images/sym_13.png,assets/images/sym_5.png,assets/images/sym_61.png
1,6,assets/images/sym_38.png,assets/images/sym_46.png,assets/images/sym_14.png,assets/images/sym_65.png,assets/images/sym_6.png,assets/images/sym_62.png,assets/images/sym_54.png,assets/images/sym_30.png,assets/images/sym_22.png
1,7,assets/images/sym_47.png,assets/images/sym_31.png,assets/images/sym_15.png,assets/images/sym_23.png,assets/images/sym_65.png,assets/images/sym_63.png,assets/images/sym_55.png,assets/images/sym_7.png,assets/images/sym_39.png
1,8,assets/images/sym_65.png,assets/images/sym_16.png,assets/images/sym_8.png,assets/images/sym_64.png,assets/images/sym_48.png,assets/images/sym_56.png,assets/images/sym_40.png,assets/images/sym_24.png,assets/images/sym_32.png
1,9,assets/images/sym_46.png,assets/images/sym_66.png,assets/images/sym_19.png,assets/images/sym_64.png,assets/images/sym_28.png,assets/images/sym_10.png,assets/images/sym_37.png,assets/images/sym_1.png,assets/images/sym_55.png
1,10,assets/images/sym_66.png,assets/images/sym_56.png,assets/images/sym_63.png,assets/images/sym_2.png,assets/images/sym_9.png,assets/images/sym_20.png,assets/images/sym_45.png,assets/images/sym_27.png,assets/images/sym_38.png
1,11,assets/images/sym_17.png,assets/images/sym_39.png,assets/images/sym_26.png,assets/images/sym_53.png,assets/images/sym_3.png,assets/images/sym_62.png,assets/images/sym_48.png,assets/images/sym_12.png,assets/images/sym_66.png
